Document,Country,Issue_Date,ISINs,Joint_Managers,Governing_Law,Fiscal_Agent,Listing_Exchange,Currency,Principal_Amount,Coupon_Rate,Maturity_Date
ghana_2018-05-14_prospectus_171818118,Ghana,2018-05-14,US374422AG84|US374422AH67|XS1821416234|XS1821416408,BofA Merrill Lynch|Citigroup|Standard Chartered,English Law,Citibank,London Stock Exchange,USD,"1,000",6.375%,16 May 2029
ghana_2019-03-18_base_prospectus_215283187,Ghana,2019-03-18,,,English Law,Citibank,London Stock Exchange,,,,
ghana_2020-02-05_base_prospectus_262895144,Ghana,2020-02-05,,,English Law,Citibank,London Stock Exchange,EUR,,,
ghana_2021-03-24_base_prospectus_NI-000022044,Ghana,2021-03-24,,,English Law,,Ghana Stock Exchange,,,,
senegal_2017-05_standalone_prospectus_USD2033,Senegal,2017-05,US81720TAB17|XS1090161875,Citigroup|J.P. Morgan|Société Générale|Standard Chartered,English Law,"Citibank, N.A., London Branch",Irish Stock Exchange,USD,"1,100",6.250%,30 July 2024
senegal_2018-03-09_final_prospectus_EUR2028_USD2048,Senegal,2018-03-09,US81720TAC99|XS1619155564,Citigroup|J.P. Morgan|Natixis|Société Générale|Standard Chartered,English Law,"Citibank, N.A., London Branch",Irish Stock Exchange,USD/EUR,"USD 1,100 / EUR 900",6.250%,23 May 2033
