storage_key,source,source_code,doc_class,evidence,proposed_by,proposed_date,status
luxse__103879015,luxse,D003,supplement,title: RoU - November 2023 - Final Prospectus Supplement USD Reopening (Final),fable-architect-session,2026-07-19,approved
nsm__125142172_20200330131515413_2147,nsm,MSCL,prospectus,"title: State of Israel Drawdown Prospectus under its €7,000,000,000 Euro Medium Te",fable-architect-session,2026-07-19,approved
nsm__224576056_20200326185141200_4701,nsm,MSCL,prospectus,title: OFFERING MEMORANDUM,fable-architect-session,2026-07-19,approved
nsm__4963959,nsm,DOC,final_terms,title: Publication of Pricing Supplement,fable-architect-session,2026-07-19,approved
